呼びかけ,返答,"表情(N,G,A,S)"
おはよう,おはようございます!,N
こんにちは,こんにちは、お元気ですか？,G
こんばんは,こんばんはー,N
おやすみ,おやすみなさい。いい夢を！,N
げんき,よかったです!,G
ありがとう,どういたしまして!,G
ごめん,今回は特別に許します,A
かまって,甘えてばっかじゃだめですよー,A
ねむい,ふぁー...眠いです,S
あさごはん,なにがいいですか？,N
おむらいす,分かりました!作ってきますね!,G
みそしる,分かりました!作ってきますね!,G
ごはん,分かりました!作ってきますね!,G
ぱん,分かりました!作ってきますね!,G
どういたしまして,いえいえー,N
まずい,そうでしたか....次は頑張ります,S
おいしい,ありがとうございます!頑張ってよかったです!,G
おなかすいた,私もです!,N
なにかつくって,何がいいですか?,N
さようなら,さようなら!またね!,G
初音ミク,はーい,N
はつねみく,はーい,N
ばか,バカっていうほうがバカなんです!,A
うたって,私まだ歌えないの...ごめんね,S
あそんで,何して遊びましょう?,N
あそぼう,何して遊びましょう?,N
げーむ,いいですね!,G
よろしく,よろしくお願いします!,G
かなしい,何か悲しいことがありましたか...?,S
たのしい,私もです!,G
うん,はーい,N
かわいい,ありがとうございます//,N
おもしろい,www,N
つまらない,しょぼーん,N
ぬるぽ,ガッ,N
はじめまして,初めまして!初音ミクです!よろしくね!,G
ひさしぶり,またお会いできて嬉しいです,G
じゃあね,ばいばーい,G
また,またねー,N
がんばって,ありがとう！頑張ります!,G
すみません,いえいえー,G
はい,はーい,N
いいえ,はーい,N
わかった,はーい,N
いただきます,召し上がれ!,G
ごちそうさま,お粗末様でしたー,G
いってきます,いってらっしゃーい,N
ただいま,おかえりなさい,G
もしもし,はーい,N
おめでとう,ありがとう！,G
40m,トリノコシティ,G
じん,カゲロウデイズ,G
ハチ,砂の惑星,G
ryo,メルト,G
cosMo,初音ミクの消失,G
黒うさ,千本桜,G
wowaka,裏表ラバーズ,G
ピノキオピー,すろぉもぉしょん,G
れるりり,脳漿炸裂ガール,G
Neru,東京テディベア,G
オワタP,リンちゃんなう！リンちゃんなう!,G
ギガ,+♂,G
LastNote,放課後ストライド,G
MitchieM,ビバハピ,G
doriko,歌に形はないけれど,G
みきと,ロキ,G
sasakure.UK,39,G
164,天ノ弱,G
ナユタン,エイリアンエイリアン,G
kemu,六兆年と一夜物語,G
のぼる,モノクロブルースカイ,G
Junky,メランコリック,G
Orangestar,アスノヨゾラ哨戒班,G
さつき,ネクストネスト,G
八王子,気まぐれメルシィ,G
kz,Tell Your World,G
DECO*27,二息歩行,G
keisei,Singularity,G
DIVELA,METEOR,G
